what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1339526629036
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339526629036
java.vm.version,sysinfo,,,"20.1-b02",1339526629036
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1339526629059
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1339526629075
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20111123-1700,"org.eclipse.team.svn.revision.graph",1339526629094
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1339526629469
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1339526629477
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1339526630687
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1339526630910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1339526656087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1339526656279
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1339526656469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339526667640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339527118016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339527120245
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339527122702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339527124002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339527691901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339527700895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339530784999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339530786534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339531179231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339531181584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339531520951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339531522354
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339531526426
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1339531526867
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1339531526868
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1339531526868
